,Years,Months,Amounts_(m3)
0,2015,1,370333.756
1,2015,2,334257.446
2,2015,3,353314.028
3,2015,4,286268.529
4,2015,5,128612.845
5,2015,6,132890.116
6,2015,7,140175.257
7,2015,8,141850.211
8,2015,9,121669.701
9,2015,10,204708.722
10,2015,11,259002.768
11,2015,12,477230.174
12,2016,1,805857.928
13,2016,2,576996.975
14,2016,3,621461.701
15,2016,4,287910.089
16,2016,5,241786.626
17,2016,6,185729.759
18,2016,7,185850.381
19,2016,8,201465.636
20,2016,9,253205.307
21,2016,10,513851.252
22,2016,11,678463.524
23,2016,12,1066322.329
24,2017,1,1113949.582
25,2017,2,864688.766
26,2017,3,800142.804
27,2017,4,577863.734
28,2017,5,292876.441
29,2017,6,206099.726
30,2017,7,221998.825
31,2017,8,221723.929
32,2017,9,290574.004
33,2017,10,508554.177
34,2017,11,714772.113
35,2017,12,846583.178
36,2018,1,981215.608
37,2018,2,862570.433
38,2018,3,760362.378
39,2018,4,456645.894
40,2018,5,286405.667
41,2018,6,211766.01
42,2018,7,248798.771
43,2018,8,228394.038
44,2018,9,341789.498
45,2018,10,366209.477
46,2018,11,621510.688
47,2018,12,960829.468
48,2019,1,1106794.439
49,2019,2,958118.932
50,2019,3,864741.634
51,2019,4,703749.95
52,2019,5,292997.594
53,2019,6,194927.547
54,2019,7,246622.852
55,2019,8,224814.413
56,2019,9,250914.958
57,2019,10,300399.112
58,2019,11,401108.5
59,2019,12,842049.898
60,2020,1,1084920.571
61,2020,2,916603.414
62,2020,3,864653.002
63,2020,4,600321.325
64,2020,5,257899.182
65,2020,6,192661.751
66,2020,7,218474.204
67,2020,8,216290.004
68,2020,9,258271.948
69,2020,10,336469.774
70,2020,11,885030.59
71,2020,12,1101992.014
72,2021,1,1214773.233
73,2021,2,1077592.281
74,2021,3,1143236.085
75,2021,4,771061.199
76,2021,5,265184.844
77,2021,6,226689.056
78,2021,7,189341.584
79,2021,8,199969.534
80,2021,9,196770.01
81,2021,10,271633.523
82,2021,11,629023.059
83,2021,12,935910.846
84,2022,1,1177878.054
85,2022,2,1002661.921
86,2022,3,1246859.335
87,2022,4,601790.831
88,2022,5,365931.165
89,2022,6,211823.912
90,2022,7,223271.47
91,2022,8,225334.037
92,2022,9,215226.467
93,2022,10,312603.286
94,2022,11,493479.191
95,2022,12,797282.008
96,2023,1,917305.989
